TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,CURRENT,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,HEADING,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,MAX_ALTITUDE,CONTAINER_RELEASED,PAYLOAD_RELEASED,PARAGLIDER_ACTIVE,TARGET_LATITUDE,TARGET_LONGITUDE,CAM_DIRECTION
1,1083,00:00:03,F,LAUNCH_PAD,-0.2,23.9,101.2,4.0,0.1,-2.6,9.3,-14.2,-11.6,-3.8,1.0,9.9,23:59:50,0.000000,0.000000,0.000000,0,N/A,0.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
2,1083,00:00:04,F,LAUNCH_PAD,1.3,23.9,101.2,4.0,0.1,5.8,-2.5,-11.5,-9.6,-1.8,1.0,9.4,23:59:51,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
3,1083,00:00:05,F,LAUNCH_PAD,0.0,23.9,101.2,4.0,0.1,-2.6,-4.6,-0.2,-8.9,-1.6,2.8,12.8,23:59:52,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
4,1083,00:00:06,F,LAUNCH_PAD,-0.2,23.9,101.2,4.0,0.1,-3.6,4.5,-0.4,-8.9,-2.2,2.7,12.5,23:59:54,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
5,1083,00:00:07,F,LAUNCH_PAD,-0.1,23.9,101.2,4.0,0.1,105.3,-101.2,-17.1,-7.1,-2.7,6.2,24.2,23:59:55,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
6,1083,00:00:08,F,LAUNCH_PAD,0.1,23.9,101.2,4.0,0.1,-3.6,-2.3,1.6,-7.1,-2.2,6.4,23.8,17:00:22,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
7,1083,00:00:09,F,LAUNCH_PAD,0.2,23.9,101.2,4.0,0.1,0.1,3.1,-0.1,-7.8,-2.1,5.7,27.0,17:02:27,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
8,1083,00:00:10,F,LAUNCH_PAD,-0.3,24.0,101.2,4.0,0.1,-1.2,5.1,-1.2,-8.1,-2.1,5.5,27.1,17:02:28,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
9,1083,00:00:11,F,LAUNCH_PAD,0.5,24.0,101.2,4.0,0.1,-151.2,108.6,72.7,-9.8,-0.1,1.0,6.1,17:02:29,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
10,1083,00:00:12,F,LAUNCH_PAD,0.6,24.0,101.2,4.0,0.1,55.3,-34.1,-3.0,-10.1,-0.4,0.1,12.8,17:02:30,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
11,1083,00:00:13,F,LAUNCH_PAD,-0.1,24.1,101.2,4.0,0.1,-3.5,-16.5,0.9,-9.1,-0.4,2.1,14.4,17:02:31,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
12,1083,00:00:14,F,LAUNCH_PAD,0.5,24.1,101.2,4.0,0.1,22.3,-12.9,-35.3,-9.6,-2.4,3.9,37.9,17:02:32,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
13,1083,00:00:15,F,LAUNCH_PAD,0.3,24.1,101.2,4.0,0.1,8.3,-35.6,-9.8,-7.4,-3.2,5.2,60.6,17:02:33,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
14,1083,00:00:16,F,LAUNCH_PAD,-0.2,24.1,101.2,4.0,0.1,2.9,-1.7,20.1,-5.7,-4.6,7.4,273.5,17:02:34,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
15,1083,00:00:17,F,LAUNCH_PAD,-0.4,24.2,101.2,4.0,0.1,0.8,4.7,3.7,-6.6,-3.2,6.2,29.8,17:02:35,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
16,1083,00:00:18,F,LAUNCH_PAD,0.2,24.2,101.2,4.0,0.1,21.6,-18.7,-51.5,-5.3,-3.0,7.4,272.8,17:02:36,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
17,1083,00:00:19,F,LAUNCH_PAD,0.2,24.2,101.2,4.0,0.1,-177.8,94.1,72.8,-8.8,-0.3,2.2,32.6,17:02:36,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
18,1083,00:00:20,F,LAUNCH_PAD,0.2,24.2,101.2,4.0,0.1,-6.3,-7.9,2.6,-9.8,-0.1,0.7,337.1,17:02:37,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
19,1083,00:00:21,F,LAUNCH_PAD,0.3,24.3,101.2,4.0,0.1,-0.4,4.6,-4.1,-9.6,0.6,1.3,337.2,17:02:38,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
20,1083,00:00:22,F,LAUNCH_PAD,0.1,24.3,101.2,4.0,0.1,-1.3,4.0,-2.4,-8.1,-0.6,4.6,341.4,17:02:39,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
21,1083,00:00:23,F,LAUNCH_PAD,-0.1,24.3,101.2,4.0,0.1,0.9,-0.9,-6.4,-8.4,-1.7,4.6,340.6,17:02:40,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
22,1083,00:00:24,F,LAUNCH_PAD,0.6,24.3,101.2,4.0,0.1,7.9,-10.9,-1.4,-9.0,1.8,-2.0,325.5,17:02:42,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
23,1083,00:00:25,F,LAUNCH_PAD,0.4,24.4,101.2,4.0,0.1,8.4,15.7,-3.4,-9.9,0.8,0.3,336.6,17:02:43,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
24,1083,00:00:26,F,LAUNCH_PAD,0.5,24.4,101.2,4.0,0.1,10.8,-3.8,13.2,-9.6,0.2,1.6,350.7,17:02:44,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
25,1083,00:00:27,F,LAUNCH_PAD,-0.1,24.4,101.2,4.0,0.1,-5.8,6.6,1.1,-10.0,-1.8,2.8,343.5,17:02:45,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
26,1083,00:00:28,F,LAUNCH_PAD,0.3,24.4,101.2,4.0,0.1,-2.0,-0.4,-1.2,-9.6,-1.3,1.9,340.7,17:02:46,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
27,1083,00:00:29,F,LAUNCH_PAD,0.3,24.5,101.2,4.0,0.1,0.5,0.0,0.8,-9.4,-1.4,1.8,339.7,17:02:47,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
28,1083,00:00:30,F,LAUNCH_PAD,-0.2,24.5,101.2,4.0,0.1,1.1,0.0,1.2,-9.5,-1.3,1.8,339.7,17:02:48,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
29,1083,00:00:31,F,LAUNCH_PAD,0.2,24.5,101.2,4.0,0.1,-0.9,-0.8,-0.6,-9.5,-1.4,1.9,339.5,17:02:49,0.000000,0.000000,0.000000,0,N/A,1.6,FALSE,FALSE,FALSE,0.0,0.0,0.0
