PACKET_COUNT,TEAM_ID,MISSION_TIME,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,CURRENT,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,HEADING,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,MAX_ALTITUDE,CONTAINER_RELEASED,PAYLOAD_RELEASED,PARAGLIDER_ACTIVE,TARGET_LATITUDE,TARGET_LONGITUDE,CAM_DIRECTION
1,00:01:00,60,F,LAUNCH_PAD,36.5,26.3,100.9,4.1,0.1,0.1,0.8,-0.1,9.8,0.1,-0.2,238.2,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
2,00:01:01,61,F,LAUNCH_PAD,37.2,26.4,100.9,4.1,0.1,-0.3,-1.1,2.5,9.9,0.1,0.3,235.0,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
3,00:01:02,62,F,LAUNCH_PAD,37.2,26.4,100.9,4.1,0.1,-0.1,-0.2,-0.1,9.9,0.3,-0.2,235.0,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
4,00:01:03,63,F,LAUNCH_PAD,36.6,26.4,100.9,4.2,0.1,-0.1,0.2,0.0,9.8,0.2,-0.4,235.0,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
5,00:01:04,64,F,LAUNCH_PAD,37.3,26.4,100.9,4.1,0.1,-0.1,0.2,-0.1,9.8,0.2,-0.4,235.0,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
6,00:01:05,65,F,LAUNCH_PAD,37.0,26.4,100.9,4.2,0.1,0.1,-0.1,0.1,9.9,0.2,-0.4,235.0,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
7,00:01:06,66,F,LAUNCH_PAD,37.1,26.4,100.9,4.2,0.1,0.1,-0.0,0.1,9.8,0.2,-0.4,235.0,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
8,00:01:07,67,F,LAUNCH_PAD,37.0,26.5,100.9,4.1,0.1,0.1,0.2,-0.2,9.9,0.2,-0.4,235.0,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
9,00:01:08,68,F,LAUNCH_PAD,36.9,26.4,100.9,4.2,0.1,0.1,-0.0,0.1,9.9,0.2,-0.4,235.0,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
10,00:01:09,69,F,LAUNCH_PAD,36.6,26.4,100.9,4.2,0.1,0.1,0.6,0.4,9.8,0.2,-0.5,235.0,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
11,00:01:10,70,F,LAUNCH_PAD,36.7,26.4,100.9,4.1,0.1,0.1,-0.5,0.2,9.8,0.2,-0.5,235.0,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
12,00:01:11,71,F,LAUNCH_PAD,36.5,26.5,100.9,4.1,0.1,0.1,-0.1,0.4,9.9,0.2,-0.4,235.0,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
13,00:01:12,72,F,LAUNCH_PAD,36.5,26.5,100.9,4.1,0.1,-0.1,0.1,-0.3,9.8,0.2,-0.3,235.0,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
14,00:01:13,73,F,LAUNCH_PAD,37.0,26.4,100.9,4.2,0.1,-0.0,-0.0,0.4,9.9,0.1,-0.3,235.0,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
15,00:01:14,74,F,LAUNCH_PAD,36.9,26.5,100.9,4.2,0.1,0.1,0.3,0.1,9.9,0.2,-0.3,235.0,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
16,00:01:15,75,F,LAUNCH_PAD,37.8,26.5,100.9,4.2,0.1,2.9,-0.3,-0.2,9.8,0.3,-0.3,234.9,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
17,00:01:16,76,F,LAUNCH_PAD,37.3,26.5,100.9,4.2,0.1,-0.1,-0.1,0.1,9.8,0.3,-0.4,235.2,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
18,00:01:17,77,F,LAUNCH_PAD,36.6,26.6,100.9,4.1,0.1,0.1,0.1,-0.1,9.8,0.2,-0.4,235.2,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
19,00:01:18,78,F,LAUNCH_PAD,36.6,26.6,100.9,4.1,0.1,-0.0,-0.1,-0.1,9.9,0.2,-0.3,235.2,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
20,00:01:19,79,F,LAUNCH_PAD,37.0,26.6,100.9,4.1,0.1,-0.1,-0.2,0.0,9.8,0.2,-0.4,235.2,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
21,00:01:20,80,F,LAUNCH_PAD,36.8,26.6,100.9,4.2,0.1,0.1,0.1,-0.1,9.9,0.3,-0.4,235.2,00:00:00,0.000000,0.000000,0.000000,0,N/A,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
22,00:01:21,81,F,LAUNCH_PAD,37.1,26.5,100.9,4.2,0.1,-0.0,-0.1,-0.1,9.9,0.2,-0.4,235.2,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
23,00:01:22,82,F,LAUNCH_PAD,36.9,26.6,100.9,4.1,0.1,-0.1,-0.1,0.1,9.9,0.2,-0.3,235.2,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
24,00:01:23,83,F,LAUNCH_PAD,37.1,26.6,100.9,4.2,0.1,10.6,3.0,0.5,9.6,0.3,-0.9,230.6,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
25,00:01:24,84,F,LAUNCH_PAD,36.7,26.6,100.9,4.1,0.1,-0.0,0.2,-0.1,9.9,0.2,-0.4,224.5,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
26,00:01:25,85,F,LAUNCH_PAD,37.2,26.5,100.9,4.1,0.1,16.9,10.8,2.2,10.6,0.0,0.7,228.4,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
27,00:01:26,86,F,LAUNCH_PAD,36.6,26.6,100.9,4.2,0.1,-11.1,1.2,-2.1,9.9,-0.4,0.3,239.1,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
28,00:01:27,87,F,LAUNCH_PAD,36.7,26.6,100.9,4.1,0.1,-4.2,-0.1,0.4,9.7,-0.1,0.8,244.1,00:00:00,0.000000,0.000000,0.000000,0,DROP!!!,37.8,FALSE,FALSE,FALSE,0.0,0.0,0.0
