PACKET_COUNT,TEAM_ID,MISSION_TIME,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,CURRENT,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,HEADING,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,MAX_ALTITUDE,CONTAINER_RELEASED,PAYLOAD_RELEASED,PARAGLIDER_ACTIVE,TARGET_LATITUDE,TARGET_LONGITUDE,CAM_DIRECTION
1,00:00:23,23,F,LAUNCH_PAD,-0.2,22.6,101.2,4.0,0.1,-6.5,4.9,7.5,-0.9,4.2,9.2,202.6,16:30:01,53.900002,33.385414,-117.495522,14,N/A,0.4,FALSE,FALSE,FALSE,0.0,0.0,0.0
2,00:00:25,25,F,LAUNCH_PAD,0.0,22.7,101.2,4.0,0.1,-5.2,14.2,-10.9,5.0,2.9,11.3,236.1,16:30:03,53.799999,33.385410,-117.495529,14,N/A,0.4,FALSE,FALSE,FALSE,0.0,0.0,0.0
3,00:00:26,26,F,LAUNCH_PAD,-1.0,22.8,101.2,4.0,0.1,-163.3,56.2,48.4,-3.1,-1.8,8.5,243.6,16:30:04,53.799999,33.385406,-117.495529,14,N/A,0.4,FALSE,FALSE,FALSE,0.0,0.0,0.0
4,00:00:27,27,F,LAUNCH_PAD,-0.6,22.8,101.2,4.0,0.1,-65.9,-14.6,10.5,-4.3,-8.1,3.3,265.8,16:30:05,53.799999,33.385406,-117.495529,14,N/A,0.4,FALSE,FALSE,FALSE,0.0,0.0,0.0
5,00:00:28,28,F,LAUNCH_PAD,-0.2,22.8,101.2,4.0,0.1,51.1,1.8,7.6,-2.2,-7.8,5.7,294.7,16:30:06,53.799999,33.385406,-117.495522,14,N/A,0.4,FALSE,FALSE,FALSE,0.0,0.0,0.0
6,00:00:29,29,F,LAUNCH_PAD,-0.6,22.8,101.2,4.0,0.1,8.1,3.4,2.6,-2.2,-5.7,7.8,282.2,16:30:07,53.799999,33.385403,-117.495522,14,N/A,0.4,FALSE,FALSE,FALSE,0.0,0.0,0.0
7,00:00:31,31,F,LAUNCH_PAD,-0.1,22.9,101.2,4.0,0.1,-23.4,0.6,-10.8,-2.7,-1.8,8.8,251.1,16:30:09,53.799999,33.385403,-117.495522,14,N/A,0.4,FALSE,FALSE,FALSE,0.0,0.0,0.0
